amount,method,failure_code,attempt_number,hour_of_day,past_successful_payments,action_type,recovered
999,upi,AUTHENTICATION_FAILED,1,23,0,retry_later,0
999,card,GATEWAY_TIMEOUT,1,7,3,retry_now,1
5999,card,INSUFFICIENT_FUNDS,1,18,1,recovery_link,0
2499,upi,AUTHENTICATION_FAILED,1,6,12,retry_later,1
1499,upi,INSUFFICIENT_FUNDS,2,23,3,retry_later,0
2499,upi,MANDATE_EXPIRED,1,22,0,retry_later,1
499,mandate,AUTHENTICATION_FAILED,1,14,5,retry_now,0
499,upi,GATEWAY_TIMEOUT,1,5,3,retry_later,1
999,upi,GATEWAY_TIMEOUT,1,1,1,recovery_link,1
2499,upi,INSUFFICIENT_FUNDS,1,15,3,retry_now,0
1499,upi,GATEWAY_TIMEOUT,2,13,8,retry_now,1
2999,mandate,INSUFFICIENT_FUNDS,1,1,8,recovery_link,1
999,card,INSUFFICIENT_FUNDS,1,19,20,recovery_link,0
75000,netbanking,CARD_DECLINED,2,21,8,retry_now,0
4999,upi,AUTHENTICATION_FAILED,1,0,12,retry_later,0
499,upi,INSUFFICIENT_FUNDS,2,9,8,retry_now,0
299,upi,INSUFFICIENT_FUNDS,1,15,0,retry_now,0
5000,netbanking,BANK_DOWN,1,18,12,retry_later,1
850,upi,GATEWAY_TIMEOUT,1,15,12,recovery_link,1
12000,card,GATEWAY_TIMEOUT,2,22,1,retry_now,1
12000,card,CARD_DECLINED,1,7,1,retry_later,0
299,upi,GATEWAY_TIMEOUT,1,20,0,retry_now,1
999,upi,INSUFFICIENT_FUNDS,1,15,1,recovery_link,1
1999,card,MANDATE_EXPIRED,2,13,0,retry_later,1
299,upi,GATEWAY_TIMEOUT,1,20,0,retry_later,1
5000,netbanking,INSUFFICIENT_FUNDS,1,14,0,retry_now,0
15000,netbanking,GATEWAY_TIMEOUT,2,17,0,retry_now,0
999,upi,GATEWAY_TIMEOUT,1,15,3,retry_now,0
4999,upi,MANDATE_EXPIRED,1,14,1,retry_now,0
25000,card,AUTHENTICATION_FAILED,1,6,1,recovery_link,0
2499,upi,GATEWAY_TIMEOUT,1,18,3,recovery_link,0
499,upi,GATEWAY_TIMEOUT,2,2,3,recovery_link,0
999,upi,INSUFFICIENT_FUNDS,1,1,5,recovery_link,1
999,upi,GATEWAY_TIMEOUT,1,10,1,retry_later,1
499,upi,AUTHENTICATION_FAILED,1,19,20,retry_later,0
850,upi,INSUFFICIENT_FUNDS,3,2,8,retry_later,0
8200,netbanking,INSUFFICIENT_FUNDS,1,20,3,recovery_link,0
999,mandate,GATEWAY_TIMEOUT,1,3,5,retry_now,1
999,upi,INSUFFICIENT_FUNDS,1,8,3,retry_later,0
4999,upi,MANDATE_EXPIRED,2,1,0,recovery_link,0
7500,upi,AUTHENTICATION_FAILED,1,13,3,recovery_link,1
12000,card,MANDATE_EXPIRED,1,11,3,retry_now,1
2499,upi,INSUFFICIENT_FUNDS,1,7,5,retry_now,0
75000,netbanking,GATEWAY_TIMEOUT,1,7,8,recovery_link,0
5000,netbanking,BANK_DOWN,2,10,5,retry_now,0
3499,card,AUTHENTICATION_FAILED,1,22,0,retry_now,0
2499,upi,BANK_DOWN,1,7,1,retry_later,0
1499,upi,GATEWAY_TIMEOUT,1,16,3,retry_now,0
1499,mandate,GATEWAY_TIMEOUT,1,8,0,retry_now,0
12000,card,INSUFFICIENT_FUNDS,3,3,3,retry_later,0
12000,card,INSUFFICIENT_FUNDS,3,17,5,retry_now,0
499,upi,AUTHENTICATION_FAILED,3,10,5,retry_later,0
